"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value","padj","ontology"
"71","GO:0003408","optic cup formation involved in camera-type eye development",23,12,1.1,"1.1e-10",2.34867741935484e-08,"BP"
"72","GO:0043931","ossification involved in bone maturation",23,12,1.1,"1.1e-10",2.34867741935484e-08,"BP"
"73","GO:0070977","bone maturation",23,12,1.1,"1.1e-10",2.34867741935484e-08,"BP"
"74","GO:0050904","diapedesis",39,15,1.86,"1.2e-10",2.482125e-08,"BP"
"75","GO:0031000","response to caffeine",28,13,1.34,"1.2e-10",2.482125e-08,"BP"
"76","GO:0044281","small molecule metabolic process",2322,177,110.75,"1.4e-10",2.85126153846154e-08,"BP"
"77","GO:0060047","heart contraction",315,44,15.02,"1.6e-10",3.20921212121212e-08,"BP"
"78","GO:0030239","myofibril assembly",491,58,23.42,"2.0e-10",3.95164179104478e-08,"BP"
"79","GO:0071313","cellular response to caffeine",24,12,1.14,"2.1e-10",4.08820588235294e-08,"BP"
"80","GO:0055002","striated muscle cell development",494,58,23.56,"2.5e-10",4.7963768115942e-08,"BP"
"81","GO:0002026","regulation of the force of heart contraction",25,12,1.19,"3.8e-10",6.89101369863014e-08,"BP"
"82","GO:0048799","animal organ maturation",25,12,1.19,"3.8e-10",6.89101369863014e-08,"BP"
"83","GO:0071415","cellular response to purine-containing compound",25,12,1.19,"3.8e-10",6.89101369863014e-08,"BP"
"84","GO:0090399","replicative senescence",25,12,1.19,"3.8e-10",6.89101369863014e-08,"BP"
"85","GO:0050879","multicellular organismal movement",104,23,4.96,"5.5e-10",9.58013157894737e-08,"BP"
"86","GO:0050881","musculoskeletal movement",104,23,4.96,"5.5e-10",9.58013157894737e-08,"BP"
"87","GO:0031444","slow-twitch skeletal muscle fiber contraction",7,7,0.33,"5.5e-10",9.58013157894737e-08,"BP"
"88","GO:0007519","skeletal muscle tissue development",440,53,20.99,"6.0e-10",1.03153246753247e-07,"BP"
"89","GO:0048644","muscle organ morphogenesis",142,27,6.77,"6.6e-10",1.12013846153846e-07,"BP"
"90","GO:0003015","heart process",329,44,15.69,"6.7e-10",1.1227164556962e-07,"BP"
"91","GO:0003208","cardiac ventricle morphogenesis",88,21,4.2,"6.9e-10",1.1417775e-07,"BP"
"92","GO:0060537","muscle tissue development",1010,93,48.17,"8.4e-10",1.35608780487805e-07,"BP"
"93","GO:1903826","L-arginine transmembrane transport",17,10,0.81,"8.4e-10",1.35608780487805e-07,"BP"
"94","GO:0060415","muscle tissue morphogenesis",139,26,6.63,"2.0e-09",3.18987951807229e-07,"BP"
"95","GO:0097435","supramolecular fiber organization",1588,128,75.74,"2.7e-09",4.25507142857143e-07,"BP"
"96","GO:0008016","regulation of heart contraction",184,30,8.78,"3.6e-09",5.47779310344828e-07,"BP"
"97","GO:0033275","actin-myosin filament sliding",19,10,0.91,"3.6e-09",5.47779310344828e-07,"BP"
"98","GO:1990822","basic amino acid transmembrane transport",19,10,0.91,"3.6e-09",5.47779310344828e-07,"BP"
"99","GO:1901020","negative regulation of calcium ion transmembrane transporter activity",24,11,1.14,"3.9e-09",5.86684090909091e-07,"BP"
"100","GO:1903522","regulation of blood circulation",229,34,10.92,"4.0e-09",5.94966292134831e-07,"BP"
"101","GO:0060538","skeletal muscle organ development",465,53,22.18,"4.2e-09",6.17773333333333e-07,"BP"
"102","GO:0055008","cardiac muscle tissue morphogenesis",134,25,6.39,"4.3e-09",6.25531868131868e-07,"BP"
"103","GO:0002072","optic cup morphogenesis involved in camera-type eye development",30,12,1.43,"5.1e-09",7.33845652173913e-07,"BP"
"104","GO:0098739","import across plasma membrane",116,23,5.53,"5.2e-09",7.40189247311828e-07,"BP"
"105","GO:0048741","skeletal muscle fiber development",107,22,5.1,"5.5e-09",7.74563829787234e-07,"BP"
"106","GO:0015697","quaternary ammonium group transport",57,16,2.72,"5.9e-09",8.13585416666667e-07,"BP"
"107","GO:0051146","striated muscle cell differentiation",928,85,44.26,"5.9e-09",8.13585416666667e-07,"BP"
"108","GO:0051283","negative regulation of sequestering of calcium ion",168,28,8.01,"7.1e-09",9.68967010309278e-07,"BP"
"109","GO:0060900","embryonic camera-type eye formation",37,13,1.76,"7.5e-09",1.01311224489796e-06,"BP"
"110","GO:0051208","sequestering of calcium ion",169,28,8.06,"8.2e-09",1.085516e-06,"BP"
"111","GO:0051282","regulation of sequestering of calcium ion",169,28,8.06,"8.2e-09",1.085516e-06,"BP"
"112","GO:0003010","voluntary skeletal muscle contraction",12,8,0.57,"1.1e-08",1.41376699029126e-06,"BP"
"113","GO:0014721","twitch skeletal muscle contraction",12,8,0.57,"1.1e-08",1.41376699029126e-06,"BP"
"114","GO:0009887","animal organ morphogenesis",1252,105,59.72,"1.1e-08",1.41376699029126e-06,"BP"
"115","GO:0098957","anterograde axonal transport of mitochondrion",21,10,1,"1.3e-08",1.65475e-06,"BP"
"116","GO:0046849","bone remodeling",86,19,4.1,"1.7e-08",2.14329523809524e-06,"BP"
"117","GO:1901880","negative regulation of protein depolymerization",176,28,8.39,"2.0e-08",2.4977358490566e-06,"BP"
"118","GO:0003013","circulatory system process",670,66,31.96,"2.1e-08",2.59811214953271e-06,"BP"
"119","GO:0043501","skeletal muscle adaptation",70,17,3.34,"2.2e-08",2.67188990825688e-06,"BP"
"120","GO:0060343","trabecula formation",40,13,1.91,"2.2e-08",2.67188990825688e-06,"BP"
"121","GO:0042692","muscle cell differentiation",1115,95,53.18,"2.7e-08",3.24932727272727e-06,"BP"
"122","GO:0014904","myotube cell development",117,22,5.58,"3.1e-08",3.6970990990991e-06,"BP"
"123","GO:0030199","collagen fibril organization",101,20,4.82,"5.3e-08",6.26441071428571e-06,"BP"
"124","GO:0048016","inositol phosphate-mediated signaling",92,19,4.39,"5.6e-08",6.56042477876106e-06,"BP"
"125","GO:0003206","cardiac chamber morphogenesis",142,24,6.77,"6.3e-08",7.31573684210526e-06,"BP"
"126","GO:1903170","negative regulation of calcium ion transmembrane transport",30,11,1.43,"6.5e-08",7.48234782608696e-06,"BP"
"127","GO:0030835","negative regulation of actin filament depolymerization",144,24,6.87,"8.3e-08",9.47201724137931e-06,"BP"
"128","GO:0014733","regulation of skeletal muscle adaptation",31,11,1.48,"9.7e-08",1.0975094017094e-05,"BP"
"129","GO:0015802","basic amino acid transport",25,10,1.19,"9.9e-08",1.11064576271186e-05,"BP"
"130","GO:0051693","actin filament capping",135,23,6.44,"1.0e-07",1.11243697478992e-05,"BP"
"131","GO:0089718","amino acid import across plasma membrane",32,11,1.53,"1.4e-07",1.5316694214876e-05,"BP"
"132","GO:0030834","regulation of actin filament depolymerization",148,24,7.06,"1.4e-07",1.5316694214876e-05,"BP"
"133","GO:0048048","embryonic eye morphogenesis",62,15,2.96,"1.5e-07",1.62762295081967e-05,"BP"
"134","GO:0001503","ossification",408,45,19.46,"1.6e-07",1.7220162601626e-05,"BP"
"135","GO:1905517","macrophage migration",71,16,3.39,"1.7e-07",1.81488709677419e-05,"BP"
"136","GO:0008015","blood circulation",567,56,27.04,"2.3e-07",2.40690909090909e-05,"BP"
"137","GO:0043242","negative regulation of protein-containing complex disassembly",197,28,9.4,"2.4e-07",2.40690909090909e-05,"BP"
"138","GO:0030049","muscle filament sliding",16,8,0.76,"2.4e-07",2.40690909090909e-05,"BP"
"139","GO:0052696","flavonoid glucuronidation",5,5,0.24,"2.4e-07",2.40690909090909e-05,"BP"
"140","GO:0052697","xenobiotic glucuronidation",5,5,0.24,"2.4e-07",2.40690909090909e-05,"BP"
"141","GO:0097638","L-arginine import across plasma membrane",5,5,0.24,"2.4e-07",2.40690909090909e-05,"BP"
"142","GO:1903810","L-histidine import across plasma membrane",5,5,0.24,"2.4e-07",2.40690909090909e-05,"BP"
"143","GO:1905949","negative regulation of calcium ion import across plasma membrane",5,5,0.24,"2.4e-07",2.40690909090909e-05,"BP"
"144","GO:0010927","cellular component assembly involved in morphogenesis",598,58,28.52,"2.5e-07",2.48834586466165e-05,"BP"
"145","GO:0007006","mitochondrial membrane organization",153,24,7.3,"2.7e-07",2.66735820895522e-05,"BP"
"146","GO:0048771","tissue remodeling",166,25,7.92,"3.4e-07",3.33401481481482e-05,"BP"
"147","GO:0002027","regulation of heart rate",94,18,4.48,"4.1e-07",3.99086764705882e-05,"BP"
"148","GO:0030042","actin filament depolymerization",203,28,9.68,"4.4e-07",4.2516204379562e-05,"BP"
"149","GO:0051480","regulation of cytosolic calcium ion concentration",67,15,3.2,"4.6e-07",4.41266666666667e-05,"BP"
"150","GO:0015838","amino-acid betaine transport",29,10,1.38,"5.1e-07",4.82241428571429e-05,"BP"
"151","GO:0015879","carnitine transport",29,10,1.38,"5.1e-07",4.82241428571429e-05,"BP"
"152","GO:0033173","calcineurin-NFAT signaling cascade",86,17,4.1,"5.3e-07",4.97598581560284e-05,"BP"
"153","GO:0051289","protein homotetramerization",96,18,4.58,"5.7e-07",5.31384507042254e-05,"BP"
"154","GO:0097720","calcineurin-mediated signaling",87,17,4.15,"6.4e-07",5.9246993006993e-05,"BP"
"155","GO:0060317","cardiac epithelial to mesenchymal transition",44,12,2.1,"6.7e-07",6.15934722222222e-05,"BP"
"156","GO:0035989","tendon development",13,7,0.62,"7.3e-07",6.619e-05,"BP"
"157","GO:1901387","positive regulation of voltage-gated calcium channel activity",13,7,0.62,"7.3e-07",6.619e-05,"BP"
"158","GO:0098657","import into cell",173,25,8.25,"7.5e-07",6.75408163265306e-05,"BP"
"159","GO:1901879","regulation of protein depolymerization",209,28,9.97,"8.1e-07",7.24512162162162e-05,"BP"
"160","GO:0050905","neuromuscular process",174,25,8.3,"8.4e-07",7.46303355704698e-05,"BP"
"161","GO:0018057","peptidyl-lysine oxidation",9,6,0.43,"8.6e-07",7.58978666666667e-05,"BP"
"162","GO:0043616","keratinocyte proliferation",53,13,2.53,"8.7e-07",7.62719205298013e-05,"BP"
"163","GO:0051209","release of sequestered calcium ion into cytosol",164,24,7.82,"9.9e-07",8.62211842105263e-05,"BP"
"164","GO:0003333","amino acid transmembrane transport",90,17,4.29,"1.0e-06",8.65228758169935e-05,"BP"
"165","GO:0048596","embryonic camera-type eye morphogenesis",54,13,2.58,"1.1e-06",9.45571428571429e-05,"BP"
"166","GO:0051014","actin filament severing",91,17,4.34,"1.2e-06",0.000102487741935484,"BP"
"167","GO:0030198","extracellular matrix organization",357,39,17.03,"1.4e-06",0.00011164578313253,"BP"
"168","GO:0043062","extracellular structure organization",357,39,17.03,"1.4e-06",0.00011164578313253,"BP"
"169","GO:0061383","trabecula morphogenesis",55,13,2.62,"1.4e-06",0.00011164578313253,"BP"
"170","GO:0051694","pointed-end actin filament capping",14,7,0.67,"1.4e-06",0.00011164578313253,"BP"
"171","GO:0060346","bone trabecula formation",14,7,0.67,"1.4e-06",0.00011164578313253,"BP"
"172","GO:0061430","bone trabecula morphogenesis",14,7,0.67,"1.4e-06",0.00011164578313253,"BP"
"173","GO:0006063","uronic acid metabolic process",6,5,0.29,"1.4e-06",0.00011164578313253,"BP"
"174","GO:0019585","glucuronate metabolic process",6,5,0.29,"1.4e-06",0.00011164578313253,"BP"
"175","GO:0052695","cellular glucuronidation",6,5,0.29,"1.4e-06",0.00011164578313253,"BP"
"176","GO:0070640","vitamin D3 metabolic process",6,5,0.29,"1.4e-06",0.00011164578313253,"BP"
"177","GO:1903401","L-lysine transmembrane transport",6,5,0.29,"1.4e-06",0.00011164578313253,"BP"
"178","GO:0009888","tissue development",2863,189,136.56,"1.6e-06",0.000126831137724551,"BP"
"179","GO:0051262","protein tetramerization",135,21,6.44,"1.7e-06",0.000133163313609467,"BP"
"180","GO:0031076","embryonic camera-type eye development",56,13,2.67,"1.7e-06",0.000133163313609467,"BP"
"181","GO:0019722","calcium-mediated signaling",218,28,10.4,"1.9e-06",0.000147954117647059,"BP"
"182","GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity",33,10,1.57,"2.0e-06",0.00015393023255814,"BP"
"183","GO:0009152","purine ribonucleotide biosynthetic process",231,29,11.02,"2.0e-06",0.00015393023255814,"BP"
"184","GO:0033197","response to vitamin E",10,6,0.48,"2.1e-06",0.000160692485549133,"BP"
"185","GO:0016048","detection of temperature stimulus",15,7,0.72,"2.5e-06",0.000185926966292135,"BP"
"186","GO:0050650","chondroitin sulfate proteoglycan biosynthetic process",15,7,0.72,"2.5e-06",0.000185926966292135,"BP"
"187","GO:0050951","sensory perception of temperature stimulus",15,7,0.72,"2.5e-06",0.000185926966292135,"BP"
"188","GO:0050961","detection of temperature stimulus involved in sensory perception",15,7,0.72,"2.5e-06",0.000185926966292135,"BP"
"189","GO:0050965","detection of temperature stimulus involved in sensory perception of pain",15,7,0.72,"2.5e-06",0.000185926966292135,"BP"
"190","GO:0045123","cellular extravasation",86,16,4.1,"2.7e-06",0.000199679329608939,"BP"
"191","GO:0019896","axonal transport of mitochondrion",35,10,1.67,"3.6e-06",0.000263297237569061,"BP"
"192","GO:0051494","negative regulation of cytoskeleton organization",290,33,13.83,"3.6e-06",0.000263297237569061,"BP"
"193","GO:1902475","L-alpha-amino acid transmembrane transport",51,12,2.43,"3.7e-06",0.000269124175824176,"BP"
"194","GO:0006575","cellular modified amino acid metabolic process",131,20,6.25,"4.0e-06",0.000289355191256831,"BP"
"195","GO:0001878","response to yeast",11,6,0.52,"4.4e-06",0.00031484972972973,"BP"
"196","GO:0018158","protein oxidation",11,6,0.52,"4.4e-06",0.00031484972972973,"BP"
"197","GO:0019932","second-messenger-mediated signaling",280,32,13.36,"4.6e-06",0.000320714432989691,"BP"
"198","GO:0006844","acyl carnitine transport",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"199","GO:0014724","regulation of twitch skeletal muscle contraction",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"200","GO:0015819","lysine transport",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"201","GO:0070295","renal water absorption",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"202","GO:0098735","positive regulation of the force of heart contraction",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"203","GO:1905664","regulation of calcium ion import across plasma membrane",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"204","GO:1905665","positive regulation of calcium ion import across plasma membrane",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"205","GO:1990575","mitochondrial L-ornithine transmembrane transport",7,5,0.33,"4.7e-06",0.000320714432989691,"BP"
"206","GO:0031449","regulation of slow-twitch skeletal muscle fiber contraction",4,4,0.19,"5.1e-06",0.000340978787878788,"BP"
"207","GO:0033326","cerebrospinal fluid secretion",4,4,0.19,"5.1e-06",0.000340978787878788,"BP"
"208","GO:2000328","regulation of T-helper 17 cell lineage commitment",4,4,0.19,"5.1e-06",0.000340978787878788,"BP"
"209","GO:2000329","negative regulation of T-helper 17 cell lineage commitment",4,4,0.19,"5.1e-06",0.000340978787878788,"BP"
"210","GO:0051261","protein depolymerization",284,32,13.55,"6.2e-06",0.000412440201005025,"BP"
"211","GO:0070884","regulation of calcineurin-NFAT signaling cascade",72,14,3.43,"6.5e-06",0.000430235,"BP"
"212","GO:0045229","external encapsulating structure organization",383,39,18.27,"7.5e-06",0.000493955223880597,"BP"
"213","GO:0106056","regulation of calcineurin-mediated signaling",73,14,3.48,"7.7e-06",0.000504616831683168,"BP"
"214","GO:0051049","regulation of transport",2265,152,108.04,"8.3e-06",0.000541258128078818,"BP"
"215","GO:0001706","endoderm formation",55,12,2.62,"8.5e-06",0.000551583333333333,"BP"
"216","GO:0006874","intracellular calcium ion homeostasis",331,35,15.79,"9.6e-06",0.000616916504854369,"BP"
"217","GO:0072522","purine-containing compound biosynthetic process",290,32,13.83,"9.6e-06",0.000616916504854369,"BP"
"218","GO:0032879","regulation of localization",2689,175,128.26,"9.7e-06",0.000620331400966184,"BP"
"219","GO:0009165","nucleotide biosynthetic process",318,34,15.17,"1.0e-05",0.000636442307692308,"BP"
"220","GO:0009581","detection of external stimulus",128,19,6.11,"1.1e-05",0.000686877358490566,"BP"
"221","GO:0009582","detection of abiotic stimulus",128,19,6.11,"1.1e-05",0.000686877358490566,"BP"
"222","GO:0003205","cardiac chamber development",213,26,10.16,"1.1e-05",0.000686877358490566,"BP"
"223","GO:0050654","chondroitin sulfate proteoglycan metabolic process",18,7,0.86,"1.1e-05",0.000686877358490566,"BP"
"224","GO:0009812","flavonoid metabolic process",8,5,0.38,"1.2e-05",0.00073205529953917,"BP"
"225","GO:1903031","regulation of microtubule plus-end binding",8,5,0.38,"1.2e-05",0.00073205529953917,"BP"
"226","GO:1903033","positive regulation of microtubule plus-end binding",8,5,0.38,"1.2e-05",0.00073205529953917,"BP"
"227","GO:0035987","endodermal cell differentiation",48,11,2.29,"1.2e-05",0.00073205529953917,"BP"
"228","GO:0003151","outflow tract morphogenesis",86,15,4.1,"1.2e-05",0.00073205529953917,"BP"
"229","GO:0030837","negative regulation of actin filament polymerization",177,23,8.44,"1.3e-05",0.000789422018348624,"BP"
"230","GO:0046854","phosphatidylinositol phosphate biosynthetic process",87,15,4.15,"1.4e-05",0.000846264840182648,"BP"
"231","GO:1901293","nucleoside phosphate biosynthetic process",324,34,15.45,"1.5e-05",0.000898506787330317,"BP"
"232","GO:0009260","ribonucleotide biosynthetic process",256,29,12.21,"1.5e-05",0.000898506787330317,"BP"
"233","GO:0031032","actomyosin structure organization",810,66,38.64,"1.6e-05",0.00095409009009009,"BP"
"234","GO:0062149","detection of stimulus involved in sensory perception of pain",19,7,0.91,"1.7e-05",0.00100020444444444,"BP"
"235","GO:0043279","response to alkaloid",121,18,5.77,"1.7e-05",0.00100020444444444,"BP"
"236","GO:0060348","bone development",258,29,12.31,"1.7e-05",0.00100020444444444,"BP"
"237","GO:0055074","calcium ion homeostasis",341,35,16.26,"1.8e-05",0.00105435398230089,"BP"
"238","GO:0006164","purine nucleotide biosynthetic process",273,30,13.02,"2.0e-05",0.00115615720524017,"BP"
"239","GO:0043588","skin development",287,31,13.69,"2.0e-05",0.00115615720524017,"BP"
"240","GO:0048562","embryonic organ morphogenesis",357,36,17.03,"2.0e-05",0.00115615720524017,"BP"
"241","GO:1902904","negative regulation of supramolecular fiber organization",289,31,13.78,"2.3e-05",0.0013238,"BP"
"242","GO:0070307","lens fiber cell development",20,7,0.95,"2.5e-05",0.00140233050847458,"BP"
"243","GO:1902430","negative regulation of amyloid-beta formation",20,7,0.95,"2.5e-05",0.00140233050847458,"BP"
"244","GO:0014728","regulation of the force of skeletal muscle contraction",5,4,0.24,"2.5e-05",0.00140233050847458,"BP"
"245","GO:0014862","regulation of skeletal muscle contraction by chemo-mechanical energy conversion",5,4,0.24,"2.5e-05",0.00140233050847458,"BP"
"246","GO:0042694","muscle cell fate specification",5,4,0.24,"2.5e-05",0.00140233050847458,"BP"
"247","GO:1905590","fibronectin fibril organization",5,4,0.24,"2.5e-05",0.00140233050847458,"BP"
"248","GO:0001957","intramembranous ossification",9,5,0.43,"2.6e-05",0.00144616806722689,"BP"
"249","GO:0036072","direct ossification",9,5,0.43,"2.6e-05",0.00144616806722689,"BP"
"250","GO:0043244","regulation of protein-containing complex disassembly",294,31,14.02,"3.2e-05",0.00176506666666667,"BP"
"251","GO:0090596","sensory organ morphogenesis",253,28,12.07,"3.2e-05",0.00176506666666667,"BP"
"252","GO:0006029","proteoglycan metabolic process",53,11,2.53,"3.3e-05",0.00181267219917012,"BP"
"253","GO:0015807","L-amino acid transport",63,12,3,"3.7e-05",0.00201566255144033,"BP"
"254","GO:0003231","cardiac ventricle development",164,21,7.82,"3.7e-05",0.00201566255144033,"BP"
"255","GO:0007507","heart development",1251,91,59.67,"3.8e-05",0.00206165573770492,"BP"
"256","GO:0045933","positive regulation of muscle contraction",45,10,2.15,"4.1e-05",0.0022153387755102,"BP"
"257","GO:0098659","inorganic cation import across plasma membrane",64,12,3.05,"4.3e-05",0.00230459109311741,"BP"
"258","GO:0099587","inorganic ion import across plasma membrane",64,12,3.05,"4.3e-05",0.00230459109311741,"BP"
"259","GO:0046390","ribose phosphate biosynthetic process",273,29,13.02,"5.0e-05",0.0026476,"BP"
"260","GO:0140694","non-membrane-bounded organelle assembly",939,72,44.79,"5.0e-05",0.0026476,"BP"
"261","GO:0072540","T-helper 17 cell lineage commitment",10,5,0.48,"5.0e-05",0.0026476,"BP"
